[2022-07-17 23:29:37] [info]  [ 4840] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-07-17 23:29:39] [info]  [ 4840] Running Service 'Tomcat9'...
[2022-07-17 23:29:39] [info]  [ 7040] Starting service...
[2022-07-17 23:29:41] [info]  [ 7040] Service started in 1810 milliseconds.
[2022-07-18 22:08:31] [info]  [16100] Console SHUTDOWN event signaled.
[2022-07-18 22:08:31] [info]  [16100] Stopping service...
[2022-07-18 22:08:32] [info]  [16100] Service stop thread completed.
[2022-07-18 22:08:32] [info]  [ 4840] Run service finished.
[2022-07-18 22:08:32] [info]  [ 4840] Apache Commons Daemon procrun finished.
