[2022-05-18 16:12:49] [info]  [ 4380] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-18 16:12:51] [info]  [ 4380] Running Service 'Tomcat9'...
[2022-05-18 16:12:51] [info]  [ 6496] Starting service...
[2022-05-18 16:12:52] [info]  [ 6496] Service started in 1478 milliseconds.
[2022-06-09 18:36:05] [info]  [ 6804] Console SHUTDOWN event signaled.
[2022-06-09 18:36:05] [info]  [ 6804] Stopping service...
[2022-06-09 18:36:06] [info]  [ 6804] Service stop thread completed.
[2022-06-09 18:36:06] [info]  [ 4380] Run service finished.
[2022-06-09 18:36:06] [info]  [ 4380] Apache Commons Daemon procrun finished.
