[2022-09-22 08:29:26] [info]  [ 4616] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-09-22 08:29:28] [info]  [ 4616] Running Service 'Tomcat9'...
[2022-09-22 08:29:28] [info]  [ 6944] Starting service...
[2022-09-22 08:29:30] [info]  [ 6944] Service started in 1798 milliseconds.
[2022-09-22 08:31:03] [info]  [13272] Console SHUTDOWN event signaled.
[2022-09-22 08:31:03] [info]  [13272] Stopping service...
[2022-09-22 08:31:04] [info]  [13272] Service stop thread completed.
[2022-09-22 08:31:04] [info]  [ 4616] Run service finished.
[2022-09-22 08:31:04] [info]  [ 4616] Apache Commons Daemon procrun finished.
[2022-09-22 08:31:35] [info]  [ 5252] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-09-22 08:31:35] [info]  [ 5252] Running Service 'Tomcat9'...
[2022-09-22 08:31:35] [info]  [ 6208] Starting service...
[2022-09-22 08:31:37] [info]  [ 6208] Service started in 1896 milliseconds.
[2022-09-22 08:33:51] [info]  [ 9924] Console SHUTDOWN event signaled.
[2022-09-22 08:33:51] [info]  [ 9924] Stopping service...
[2022-09-22 08:33:52] [info]  [ 9924] Service stop thread completed.
[2022-09-22 08:33:52] [info]  [ 5252] Run service finished.
[2022-09-22 08:33:52] [info]  [ 5252] Apache Commons Daemon procrun finished.
[2022-09-22 15:59:18] [info]  [ 5296] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-09-22 15:59:18] [info]  [ 5296] Running Service 'Tomcat9'...
[2022-09-22 15:59:18] [info]  [ 6540] Starting service...
[2022-09-22 15:59:20] [info]  [ 6540] Service started in 1889 milliseconds.
[2022-09-22 17:43:57] [info]  [13716] Console SHUTDOWN event signaled.
[2022-09-22 17:43:57] [info]  [13716] Stopping service...
[2022-09-22 17:43:58] [info]  [13716] Service stop thread completed.
[2022-09-22 17:43:58] [info]  [ 5296] Run service finished.
[2022-09-22 17:43:58] [info]  [ 5296] Apache Commons Daemon procrun finished.
