[2022-06-09 18:36:29] [info]  [ 5116] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-06-09 18:36:30] [info]  [ 5116] Running Service 'Tomcat9'...
[2022-06-09 18:36:30] [info]  [ 6040] Starting service...
[2022-06-09 18:36:31] [info]  [ 6040] Service started in 1765 milliseconds.
[2022-06-09 18:59:52] [info]  [ 3348] Console SHUTDOWN event signaled.
[2022-06-09 18:59:52] [info]  [ 3348] Stopping service...
[2022-06-09 18:59:53] [info]  [ 3348] Service stop thread completed.
[2022-06-09 18:59:53] [info]  [ 5116] Run service finished.
[2022-06-09 18:59:53] [info]  [ 5116] Apache Commons Daemon procrun finished.
[2022-06-09 21:20:47] [info]  [ 5236] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-06-09 21:20:47] [info]  [ 5236] Running Service 'Tomcat9'...
[2022-06-09 21:20:47] [info]  [ 6252] Starting service...
[2022-06-09 21:20:48] [info]  [ 6252] Service started in 1638 milliseconds.
[2022-06-09 22:03:16] [info]  [ 1816] Console SHUTDOWN event signaled.
[2022-06-09 22:03:16] [info]  [ 1816] Stopping service...
[2022-06-09 22:03:17] [info]  [ 1816] Service stop thread completed.
[2022-06-09 22:03:17] [info]  [ 5236] Run service finished.
[2022-06-09 22:03:17] [info]  [ 5236] Apache Commons Daemon procrun finished.
