[2022-09-06 13:36:05] [info]  [ 5252] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-09-06 13:36:06] [info]  [ 5252] Running Service 'Tomcat9'...
[2022-09-06 13:36:06] [info]  [ 6384] Starting service...
[2022-09-06 13:36:08] [info]  [ 6384] Service started in 1952 milliseconds.
[2022-09-22 08:28:59] [info]  [10780] Console SHUTDOWN event signaled.
[2022-09-22 08:28:59] [info]  [10780] Stopping service...
[2022-09-22 08:29:00] [info]  [10780] Service stop thread completed.
[2022-09-22 08:29:00] [info]  [ 5252] Run service finished.
[2022-09-22 08:29:00] [info]  [ 5252] Apache Commons Daemon procrun finished.
